Date,Oil rate,Water rate,Gas rate,THP,BHP,GL,ESP
9/6/2014,1008,167,0,741,0,0,49
9/7/2014,1423,99,0,444,1615,0,49
9/8/2014,1460,79,0,453,1615,0,49
9/9/2014,1074,0,0,425,1659,0,49
9/10/2014,1352,9,0,424,1635,0,49
9/11/2014,1343,5,0,443,1637,0,49
9/12/2014,1492,2,0,371,1623,0,49
9/13/2014,1139,0,0,490,1646,0,49
9/14/2014,1358,0,0,472,1648,0,49
9/15/2014,1393,1,0,449,1640,0,49
9/16/2014,1412,0,0,463,1640,0,49
9/17/2014,1394,0,0,463,1640,0,49
9/18/2014,165,0,0,463,1640,0,49
9/19/2014,403,0,0,480,1664,0,49
9/20/2014,1159,2,0,480,1665,0,49
9/21/2014,1397,0,0,466,1663,0,49
9/22/2014,1484,0,0,467,1664,0,49
9/23/2014,1450,0,0,470,1666,0,49
9/24/2014,1423,0,0,467,1666,0,49
9/25/2014,1497,0,0,469,1667,0,49
9/26/2014,1364,0,0,470,1667,0,49
9/27/2014,1396,0,0,479,1669,0,49
9/28/2014,1348,0,0,482,1669,0,49
9/29/2014,1154,1,0,482,1668,0,49
9/30/2014,1397,27,0,465,1669,0,49
10/1/2014,1343,3,0,457,1668,0,49
10/2/2014,1334,7,0,478,1668,0,49
10/3/2014,1375,6,0,451,1666,0,49
10/4/2014,1412,1,0,481,1668,0,49
10/5/2014,1254,2,0,501,1672,0,49
10/6/2014,1450,1,0,415,1672,0,49
10/7/2014,1485,1,0,415,1667,0,49
10/8/2014,1464,1,0,415,1667,0,49
10/9/2014,1448,18,0,454,1667,0,49
10/10/2014,1405,42,0,454,1668,0,49
10/11/2014,1357,33,0,471,1671,0,49
10/12/2014,1433,58,0,437,1672,0,49
10/13/2014,1347,43,0,444,1674,0,49
10/14/2014,1388,51,0,483,1675,0,49
10/15/2014,1114,47,0,439,1698,0,49
10/16/2014,904,101,0,397,1672,0,49
10/17/2014,1309,128,0,397,1672,0,49
10/18/2014,1413,98,0,390,1658,0,49
10/19/2014,1433,95,0,386,1658,0,49
10/20/2014,1195,108,0,387,1657,0,49
10/21/2014,1367,106,0,383,1657,0,49
10/22/2014,1424,88,0,393,1657,0,49
10/23/2014,1363,115,0,383,1654,0,49
10/24/2014,1212,117,0,386,1660,0,49
10/25/2014,1289,118,0,386,1660,0,49
10/26/2014,1127,121,0,433,1667,0,49
10/27/2014,1197,135,0,421,1666,0,49
10/28/2014,1064,134,0,424,1667,0,49
10/29/2014,1084,141,0,400,1663,0,49
10/30/2014,1072,152,0,433,1669,0,49
10/31/2014,1041,150,0,428,1669,0,49
11/1/2014,1190,149,43,428,1669,0,49
11/2/2014,1124,165,0,426,1670,0,49
11/3/2014,1097,180,0,424,1671,0,49
11/4/2014,1167,191,0,424,1671,0,49
11/5/2014,1140,196,0,429,1672,0,49
11/6/2014,1082,197,0,424,1672,0,49
11/7/2014,1070,210,0,414,1673,0,49
11/8/2014,1173,237,0,429,1676,0,49
11/9/2014,1148,287,0,439,1675,0,49
11/10/2014,1084,237,0,430,1674,0,49
11/11/2014,1038,226,0,427,1676,0,49
11/12/2014,959,216,0,433,1678,0,49
11/13/2014,1167,191,0,424,1671,0,49
11/14/2014,930,218,48,423,1677,0,49
11/15/2014,970,232,49,420,1677,0,49
11/16/2014,1023,254,46,395,1672,0,49
11/17/2014,965,257,48,394,1673,0,49
11/18/2014,946,229,49,395,1674,0,49
11/19/2014,972,233,43,395,1674,0,49
11/20/2014,979,201,43,397,1676,0,49
11/21/2014,989,206,45,395,1677,0,49
11/22/2014,988,206,46,405,1677,0,49
11/23/2014,986,216,45,397,1677,0,49
11/24/2014,995,223,46,395,1676,0,49
11/25/2014,992,216,45,394,1677,0,49
11/26/2014,998,232,47,394,1678,0,49
11/27/2014,1032,240,54,393,1677,0,49
11/28/2014,765,292,46,853,1703,300,49
11/29/2014,986,402,68,613,1675,200,49
11/30/2014,906,379,65,648,1678,200,49
