Date,Oil rate,Water rate,Gas rate,THP,BHP,GL,ESP
8/10/2018,310,1284,0,276,1705,500,0
8/11/2018,311,1274,0,275,1705,500,0
8/12/2018,310,1286,0,255,1705,500,0
8/13/2018,312,1312,0,295,1705,500,0
8/14/2018,287,1240,0,298,1705,500,0
8/15/2018,301,1268,0,273,1705,500,0
8/16/2018,304,1272,0,348,1705,500,0
8/17/2018,298,1255,0,309,1705,500,0
8/18/2018,298,1254,0,335,1705,500,0
8/19/2018,297,1269,0,362,1705,500,0
8/20/2018,300,1283,0,355,1705,500,0
8/21/2018,300,1290,0,364,1705,500,0
8/22/2018,303,1285,0,362,1705,500,0
8/23/2018,302,1283,0,339,1705,500,0
8/24/2018,303,1284,0,322,1705,500,0
8/25/2018,302,1271,0,318,1705,500,0
8/26/2018,298,1257,0,316,1705,500,0
8/27/2018,289,1247,0,287,1705,500,0
8/28/2018,280,1224,0,295,1705,500,0
8/29/2018,260,1107,0,279,1705,500,0
8/30/2018,265,1192,0,304,1705,500,0
8/31/2018,282,1266,0,307,1705,500,0
9/1/2018,286,1292,0,293,1705,500,0
9/2/2018,282,1299,0,290,1705,500,0
9/3/2018,283,1316,0,309,1705,500,0
9/4/2018,282,1266,0,315,1705,500,0
9/5/2018,281,1254,0,301,1705,500,0
9/6/2018,291,1327,0,272,1705,500,0
9/7/2018,291,1330,0,259,1705,500,0
9/8/2018,292,1339,0,285,1705,500,0
9/9/2018,291,1360,0,316,1705,500,0
9/10/2018,295,1353,0,355,1705,500,0
9/11/2018,297,1351,0,319,1705,500,0
9/12/2018,301,1340,0,335,1705,500,0
9/13/2018,304,1351,0,295,1705,500,0
9/14/2018,304,1352,0,329,1705,500,0
9/15/2018,301,1330,0,352,1705,500,0
9/16/2018,304,1372,0,292,1705,500,0
9/17/2018,304,1311,0,331,1705,500,0
9/18/2018,304,1210,0,292,1705,500,0
9/19/2018,306,1208,0,275,1705,500,0
9/20/2018,306,1275,0,286,1705,500,0
9/21/2018,306,1255,0,262,1705,500,0
9/22/2018,304,1268,0,283,1705,500,0
9/23/2018,305,1281,0,249,1705,500,0
9/24/2018,305,1209,0,307,1705,500,0
9/25/2018,303,1270,0,304,1705,500,0
9/26/2018,306,1288,0,331,1705,500,0
9/27/2018,306,1301,0,303,1705,500,0
9/28/2018,298,1293,0,311,1705,500,0
9/29/2018,299,1291,0,308,1705,500,0
9/30/2018,293,1271,0,321,1705,500,0
10/1/2018,141,352,0,1159,1705,500,0
10/2/2018,0,0,0,1202,1705,0,0
10/3/2018,0,0,0,1202,1705,0,0
10/4/2018,285,1427,0,302,1705,500,0
10/5/2018,342,1562,0,320,1705,500,0
10/6/2018,334,1445,0,286,1705,500,0
10/7/2018,329,1510,0,303,1705,500,0
10/8/2018,335,1521,0,322,1705,500,0
